"TIME","GEO","GEO_LABEL","INDIC_DE","Value"
"2000","LT","Lithuania","Crude rate of natural change of population","-1.4"
"2000","LT","Lithuania","Crude rate of net migration plus statistical adjustment","-5.8"
"2000","LT","Lithuania","Crude rate of total population change","-7.2"
"2000","LU","Luxembourg","Population on 1 January - total ","433 600"
"2000","LU","Luxembourg","Live births - total","5 723"
"2000","LU","Luxembourg","Deaths - total","3 754"
"2000","LU","Luxembourg","Natural change of population","1 969"
"2000","LU","Luxembourg","Net migration plus statistical adjustment","3 431"
"2000","LU","Luxembourg","Total population change","5 400"
"2000","LU","Luxembourg","Crude birth rate","13.1"
"2000","LU","Luxembourg","Crude death rate ","8.6"
"2000","LU","Luxembourg","Crude rate of natural change of population","4.5"
"2000","LU","Luxembourg","Crude rate of net migration plus statistical adjustment","7.9"
"2000","LU","Luxembourg","Crude rate of total population change","12.4"
"2000","HU","Hungary","Population on 1 January - total ","10 221 644"
"2000","HU","Hungary","Live births - total","97 597"
"2000","HU","Hungary","Deaths - total","135 601"
"2000","HU","Hungary","Natural change of population","-38 004"
"2000","HU","Hungary","Net migration plus statistical adjustment","16 658"
"2000","HU","Hungary","Total population change","-21 346"
"2000","HU","Hungary","Crude birth rate","9.6"
"2000","HU","Hungary","Crude death rate ","13.3"
"2000","HU","Hungary","Crude rate of natural change of population","-3.7"
"2000","HU","Hungary","Crude rate of net migration plus statistical adjustment","1.6"
"2000","HU","Hungary","Crude rate of total population change","-2.1"
"2000","MT","Malta","Population on 1 January - total ","380 201"
"2000","MT","Malta","Live births - total","4 392"
"2000","MT","Malta","Deaths - total","2 941"
"2000","MT","Malta","Natural change of population","1 451"
"2000","MT","Malta","Net migration plus statistical adjustment","873"
"2000","MT","Malta","Total population change","2 324"
"2000","MT","Malta","Crude birth rate","11.5"
"2000","MT","Malta","Crude death rate ","7.7"
"2000","MT","Malta","Crude rate of natural change of population","3.8"
"2000","MT","Malta","Crude rate of net migration plus statistical adjustment","2.3"
"2000","MT","Malta","Crude rate of total population change","6.1"
"2000","NL","Netherlands","Population on 1 January - total ","15 863 950"
"2000","NL","Netherlands","Live births - total","206 619"
"2000","NL","Netherlands","Deaths - total","140 527"
"2000","NL","Netherlands","Natural change of population","66 092"
"2000","NL","Netherlands","Net migration plus statistical adjustment","57 033"
"2000","NL","Netherlands","Total population change","123 125"
"2000","NL","Netherlands","Crude birth rate","13.0"
"2000","NL","Netherlands","Crude death rate ","8.8"
"2000","NL","Netherlands","Crude rate of natural change of population","4.2"
"2000","NL","Netherlands","Crude rate of net migration plus statistical adjustment","3.6"
"2000","NL","Netherlands","Crude rate of total population change","7.7"
"2000","AT","Austria","Population on 1 January - total ","8 002 186"
"2000","AT","Austria","Live births - total","78 268"
"2000","AT","Austria","Deaths - total","76 780"
"2000","AT","Austria","Natural change of population","1 488"
"2000","AT","Austria","Net migration plus statistical adjustment","17 272"
"2000","AT","Austria","Total population change","18 760"
"2000","AT","Austria","Crude birth rate","9.8"
"2000","AT","Austria","Crude death rate ","9.6"
"2000","AT","Austria","Crude rate of natural change of population","0.2"
"2000","AT","Austria","Crude rate of net migration plus statistical adjustment","2.2"
"2000","AT","Austria","Crude rate of total population change","2.3"
"2000","PL","Poland","Population on 1 January - total ","38 263 303"
"2000","PL","Poland","Live births - total","378 348"
"2000","PL","Poland","Deaths - total","368 027"
"2000","PL","Poland","Natural change of population","10 321"
"2000","PL","Poland","Net migration plus statistical adjustment","-19 669"
"2000","PL","Poland","Total population change","-9 348"
"2000","PL","Poland","Crude birth rate","9.9"
"2000","PL","Poland","Crude death rate ","9.6"
"2000","PL","Poland","Crude rate of natural change of population","0.3"
"2000","PL","Poland","Crude rate of net migration plus statistical adjustment","-0.5"
"2000","PL","Poland","Crude rate of total population change","-0.2"
"2000","PT","Portugal","Population on 1 January - total ","10 249 022"
"2000","PT","Portugal","Live births - total","120 008"
"2000","PT","Portugal","Deaths - total","105 364"
"2000","PT","Portugal","Natural change of population","14 644"
"2000","PT","Portugal","Net migration plus statistical adjustment","67 108"
"2000","PT","Portugal","Total population change","81 752"
"2000","PT","Portugal","Crude birth rate","11.7"
"2000","PT","Portugal","Crude death rate ","10.2"
"2000","PT","Portugal","Crude rate of natural change of population","1.4"
"2000","PT","Portugal","Crude rate of net migration plus statistical adjustment","6.5"
"2000","PT","Portugal","Crude rate of total population change","7.9"
"2000","RO","Romania","Population on 1 January - total ","22 455 485"
"2000","RO","Romania","Live births - total","234 521"
"2000","RO","Romania","Deaths - total","255 820"
"2000","RO","Romania","Natural change of population","-21 299"
"2000","RO","Romania","Net migration plus statistical adjustment","-3 729"
"2000","RO","Romania","Total population change","-25 028"
"2000","RO","Romania","Crude birth rate","10.4"
"2000","RO","Romania","Crude death rate ","11.4"
"2000","RO","Romania","Crude rate of natural change of population","-0.9"
"2000","RO","Romania","Crude rate of net migration plus statistical adjustment","-0.2"
"2000","RO","Romania","Crude rate of total population change","-1.1"
"2000","SI","Slovenia","Population on 1 January - total ","1 987 755"
"2000","SI","Slovenia","Live births - total","18 180"
"2000","SI","Slovenia","Deaths - total","18 588"
"2000","SI","Slovenia","Natural change of population","-408"
"2000","SI","Slovenia","Net migration plus statistical adjustment","2 747"
"2000","SI","Slovenia","Total population change","2 339"
"2000","SI","Slovenia","Crude birth rate","9.1"
"2000","SI","Slovenia","Crude death rate ","9.3"
"2000","SI","Slovenia","Crude rate of natural change of population","-0.2"
"2000","SI","Slovenia","Crude rate of net migration plus statistical adjustment","1.4"
"2000","SI","Slovenia","Crude rate of total population change","1.2"
"2000","SK","Slovakia","Population on 1 January - total ","5 398 657"
"2000","SK","Slovakia","Live births - total","55 151"
"2000","SK","Slovakia","Deaths - total","52 724"
"2000","SK","Slovakia","Natural change of population","2 427"
"2000","SK","Slovakia","Net migration plus statistical adjustment","-22 301"
"2000","SK","Slovakia","Total population change","-19 874"
"2000","SK","Slovakia","Crude birth rate","10.2"
"2000","SK","Slovakia","Crude death rate ","9.8"
"2000","SK","Slovakia","Crude rate of natural change of population","0.5"
"2000","SK","Slovakia","Crude rate of net migration plus statistical adjustment","-4.1"
"2000","SK","Slovakia","Crude rate of total population change","-3.7"
"2000","FI","Finland","Population on 1 January - total ","5 171 302"
"2000","FI","Finland","Live births - total","56 742"
"2000","FI","Finland","Deaths - total","49 339"
"2000","FI","Finland","Natural change of population","7 403"
"2000","FI","Finland","Net migration plus statistical adjustment","2 410"
"2000","FI","Finland","Total population change","9 813"
"2000","FI","Finland","Crude birth rate","11.0"
"2000","FI","Finland","Crude death rate ","9.5"
"2000","FI","Finland","Crude rate of natural change of population","1.4"
"2000","FI","Finland","Crude rate of net migration plus statistical adjustment","0.5"
"2000","FI","Finland","Crude rate of total population change","1.9"
"2000","SE","Sweden","Population on 1 January - total ","8 861 426"
"2000","SE","Sweden","Live births - total","90 441"
"2000","SE","Sweden","Deaths - total","93 461"
"2000","SE","Sweden","Natural change of population","-3 020"
"2000","SE","Sweden","Net migration plus statistical adjustment","24 386"
"2000","SE","Sweden","Total population change","21 366"
"2000","SE","Sweden","Crude birth rate","10.2"
"2000","SE","Sweden","Crude death rate ","10.5"
"2000","SE","Sweden","Crude rate of natural change of population","-0.3"
"2000","SE","Sweden","Crude rate of net migration plus statistical adjustment","2.7"
"2000","SE","Sweden","Crude rate of total population change","2.4"
"2000","UK","United Kingdom","Population on 1 January - total ","58 785 246"
"2000","UK","United Kingdom","Live births - total","679 029"
"2000","UK","United Kingdom","Deaths - total","608 365"
"2000","UK","United Kingdom","Natural change of population","70 664"
"2000","UK","United Kingdom","Net migration plus statistical adjustment","143 871"
"2000","UK","United Kingdom","Total population change","214 535"
"2000","UK","United Kingdom","Crude birth rate","11.5"
"2000","UK","United Kingdom","Crude death rate ","10.3"
"2000","UK","United Kingdom","Crude rate of natural change of population","1.2"
"2000","UK","United Kingdom","Crude rate of net migration plus statistical adjustment","2.4"
"2000","UK","United Kingdom","Crude rate of total population change","3.6"
"2000","IS","Iceland","Population on 1 January - total ","279 049"
"2000","IS","Iceland","Live births - total","4 315"
"2000","IS","Iceland","Deaths - total","1 828"
"2000","IS","Iceland","Natural change of population","2 487"
"2000","IS","Iceland","Net migration plus statistical adjustment","1 825"
"2000","IS","Iceland","Total population change","4 312"
"2000","IS","Iceland","Crude birth rate","15.3"
"2000","IS","Iceland","Crude death rate ","6.5"
"2000","IS","Iceland","Crude rate of natural change of population","8.8"
"2000","IS","Iceland","Crude rate of net migration plus statistical adjustment","6.5"
"2000","IS","Iceland","Crude rate of total population change","15.3"
"2000","LI","Liechtenstein","Population on 1 January - total ","32 426"
"2000","LI","Liechtenstein","Live births - total","420"
"2000","LI","Liechtenstein","Deaths - total","239"
"2000","LI","Liechtenstein","Natural change of population","181"
"2000","LI","Liechtenstein","Net migration plus statistical adjustment","256"
"2000","LI","Liechtenstein","Total population change","437"
"2000","LI","Liechtenstein","Crude birth rate","12.9"
"2000","LI","Liechtenstein","Crude death rate ","7.3"
"2000","LI","Liechtenstein","Crude rate of natural change of population","5.5"
"2000","LI","Liechtenstein","Crude rate of net migration plus statistical adjustment","7.8"
"2000","LI","Liechtenstein","Crude rate of total population change","13.4"
"2000","NO","Norway","Population on 1 January - total ","4 478 497"
"2000","NO","Norway","Live births - total","59 234"
"2000","NO","Norway","Deaths - total","44 002"
"2000","NO","Norway","Natural change of population","15 232"
"2000","NO","Norway","Net migration plus statistical adjustment","9 707"
"2000","NO","Norway","Total population change","24 939"
"2000","NO","Norway","Crude birth rate","13.2"
"2000","NO","Norway","Crude death rate ","9.8"
"2000","NO","Norway","Crude rate of natural change of population","3.4"
"2000","NO","Norway","Crude rate of net migration plus statistical adjustment","2.2"
"2000","NO","Norway","Crude rate of total population change","5.6"
"2000","CH","Switzerland","Population on 1 January - total ","7 164 444"
"2000","CH","Switzerland","Live births - total","78 458"
"2000","CH","Switzerland","Deaths - total","62 528"
"2000","CH","Switzerland","Natural change of population","15 930"
"2000","CH","Switzerland","Net migration plus statistical adjustment","23 681"
"2000","CH","Switzerland","Total population change","39 611"
"2000","CH","Switzerland","Crude birth rate","10.9"
"2000","CH","Switzerland","Crude death rate ","8.7"
"2000","CH","Switzerland","Crude rate of natural change of population","2.2"
"2000","CH","Switzerland","Crude rate of net migration plus statistical adjustment","3.3"
"2000","CH","Switzerland","Crude rate of total population change","5.5"
"2000","ME","Montenegro","Population on 1 January - total ","603 152"
"2000","ME","Montenegro","Live births - total","9 184"
"2000","ME","Montenegro","Deaths - total","5 412"
"2000","ME","Montenegro","Natural change of population","3 772"
"2000","ME","Montenegro","Net migration plus statistical adjustment","-936"
"2000","ME","Montenegro","Total population change","2 836"
"2000","ME","Montenegro","Crude birth rate","15.2"
"2000","ME","Montenegro","Crude death rate ","9.0"
"2000","ME","Montenegro","Crude rate of natural change of population","6.2"
"2000","ME","Montenegro","Crude rate of net migration plus statistical adjustment","-1.5"
"2000","ME","Montenegro","Crude rate of total population change","4.7"
"2000","MK","North Macedonia","Population on 1 January - total ","2 021 578"
"2000","MK","North Macedonia","Live births - total","29 308"
"2000","MK","North Macedonia","Deaths - total","17 253"
"2000","MK","North Macedonia","Natural change of population","12 055"
"2000","MK","North Macedonia","Net migration plus statistical adjustment","-2 521"
"2000","MK","North Macedonia","Total population change","9 534"
"2000","MK","North Macedonia","Crude birth rate","14.5"
"2000","MK","North Macedonia","Crude death rate ","8.5"
"2000","MK","North Macedonia","Crude rate of natural change of population","5.9"
"2000","MK","North Macedonia","Crude rate of net migration plus statistical adjustment","-1.2"
"2000","MK","North Macedonia","Crude rate of total population change","4.7"
"2000","AL","Albania","Population on 1 January - total ","3 058 497"
"2000","AL","Albania","Live births - total","51 242"
"2000","AL","Albania","Deaths - total","16 421"
"2000","AL","Albania","Natural change of population","34 821"
"2000","AL","Albania","Net migration plus statistical adjustment","-30 000"
"2000","AL","Albania","Total population change","4 821"
"2000","AL","Albania","Crude birth rate","16.7"
"2000","AL","Albania","Crude death rate ","5.4"
"2000","AL","Albania","Crude rate of natural change of population","11.4"
"2000","AL","Albania","Crude rate of net migration plus statistical adjustment","-9.8"
"2000","AL","Albania","Crude rate of total population change","1.6"
"2000","RS","Serbia","Population on 1 January - total ","7 527 952"
"2000","RS","Serbia","Live births - total","73 764"
"2000","RS","Serbia","Deaths - total","104 042"
"2000","RS","Serbia","Natural change of population","-30 278"
"2000","RS","Serbia","Net migration plus statistical adjustment","7 065"
"2000","RS","Serbia","Total population change","-23 213"
"2000","RS","Serbia","Crude birth rate","9.8"
"2000","RS","Serbia","Crude death rate ","13.8"
"2000","RS","Serbia","Crude rate of natural change of population","-4.0"
"2000","RS","Serbia","Crude rate of net migration plus statistical adjustment","0.9"
"2000","RS","Serbia","Crude rate of total population change","-3.1"
"2000","TR","Turkey","Population on 1 January - total ","66 889 425"
"2000","TR","Turkey","Live births - total","1 389 000"
"2000","TR","Turkey","Deaths - total","466 000"
"2000","TR","Turkey","Natural change of population","923 000"
"2000","TR","Turkey","Net migration plus statistical adjustment","-3 082 924"
"2000","TR","Turkey","Total population change","-2 159 924"
"2000","TR","Turkey","Crude birth rate","21.1"
"2000","TR","Turkey","Crude death rate ","7.1"
"2000","TR","Turkey","Crude rate of natural change of population","14.0"
"2000","TR","Turkey","Crude rate of net migration plus statistical adjustment","-46.8"
"2000","TR","Turkey","Crude rate of total population change","-32.8"
"2001","BE","Belgium","Population on 1 January - total ","10 263 414"
"2001","BE","Belgium","Live births - total","115 372"
"2001","BE","Belgium","Deaths - total","103 447"
"2001","BE","Belgium","Natural change of population","11 925"
"2001","BE","Belgium","Net migration plus statistical adjustment","34 386"
"2001","BE","Belgium","Total population change","46 311"
"2001","BE","Belgium","Crude birth rate","11.2"
"2001","BE","Belgium","Crude death rate ","10.1"
"2001","BE","Belgium","Crude rate of natural change of population","1.2"
"2001","BE","Belgium","Crude rate of net migration plus statistical adjustment","3.3"
"2001","BE","Belgium","Crude rate of total population change","4.5"
"2001","BG","Bulgaria","Population on 1 January - total ","8 149 468"
"2001","BG","Bulgaria","Live births - total","68 180"
